randomization,descending_0.01,ascending_0.01,total_0.01,descending_0.02,ascending_0.02,total_0.02,descending_0.05,ascending_0.05,total_0.05,descending_0.1,ascending_0.1,total_0.1,descending_0.2,ascending_0.2,total_0.2,descending_0.3,ascending_0.3,total_0.3,descending_0.5,ascending_0.5,total_0.5
872,15,28,43,50,166,216,418,1537,1955,1804,4601,6405,7945,12531,20476,17856,24151,42007,52162,53956,106118
873,15,34,49,60,155,215,432,1512,1944,2001,4687,6688,8397,12905,21302,18722,25068,43790,53034,54374,107408
874,19,41,60,70,165,235,445,1523,1968,1921,4851,6772,8391,13200,21591,18435,25064,43499,52809,54661,107470
875,9,37,46,48,169,217,389,1555,1944,2000,4694,6694,8334,12908,21242,18611,24728,43339,52580,54008,106588
876,15,34,49,56,182,238,418,1523,1941,1935,4772,6707,8285,13093,21378,18447,25686,44133,53269,55425,108694
877,12,47,59,57,190,247,426,1657,2083,1856,4687,6543,8198,13235,21433,18689,25507,44196,52513,54537,107050
878,25,33,58,82,163,245,485,1588,2073,1948,4912,6860,8034,13154,21188,18444,25249,43693,52672,54660,107332
879,8,25,33,62,151,213,472,1554,2026,2037,4765,6802,8331,13251,21582,18417,25700,44117,52376,55174,107550
880,9,48,57,61,208,269,449,1654,2103,1994,4921,6915,8348,13008,21356,18658,25370,44028,53203,54737,107940
881,10,27,37,57,167,224,362,1592,1954,1754,4886,6640,7895,12883,20778,18227,25099,43326,52696,53766,106462
882,9,46,55,59,152,211,464,1500,1964,1971,4809,6780,8326,13063,21389,18330,25820,44150,52561,55056,107617
883,16,33,49,66,182,248,432,1678,2110,1953,4963,6916,8347,13361,21708,18535,25498,44033,52673,54706,107379
884,7,39,46,51,181,232,402,1596,1998,1888,4839,6727,8317,13279,21596,18405,26022,44427,52291,54860,107151
885,6,34,40,50,162,212,407,1530,1937,1891,4786,6677,7996,13099,21095,18282,25109,43391,51889,55502,107391
886,11,56,67,64,201,265,458,1761,2219,1982,5066,7048,8287,13368,21655,18870,25887,44757,53525,55697,109222
887,13,31,44,51,163,214,388,1680,2068,1856,4875,6731,8107,13222,21329,18101,25422,43523,51945,54533,106478
888,14,57,71,70,197,267,445,1717,2162,1906,4968,6874,7888,13248,21136,18215,25761,43976,52004,55375,107379
889,10,45,55,60,194,254,405,1565,1970,1924,4769,6693,8106,13029,21135,18342,25021,43363,52415,54575,106990
890,11,46,57,48,175,223,435,1607,2042,1949,4712,6661,8261,13192,21453,18356,25675,44031,52522,55235,107757
891,8,38,46,42,190,232,389,1558,1947,1830,4676,6506,8116,12732,20848,18409,25173,43582,52298,54684,106982
892,19,46,65,61,171,232,429,1588,2017,1929,4767,6696,8212,13013,21225,18479,24963,43442,53275,54077,107352
893,8,37,45,62,180,242,419,1596,2015,1973,4951,6924,8307,12955,21262,18656,25050,43706,53111,54738,107849
894,14,34,48,61,162,223,436,1515,1951,1943,4752,6695,8159,13081,21240,18313,25185,43498,53323,55146,108469
895,12,40,52,56,157,213,450,1527,1977,1958,4695,6653,8182,12844,21026,18667,25000,43667,52609,54377,106986
896,7,32,39,52,162,214,431,1469,1900,1910,4662,6572,8487,12548,21035,18816,24586,43402,52838,54272,107110
897,14,28,42,54,169,223,433,1653,2086,1903,4761,6664,8187,13057,21244,18715,24930,43645,52644,54303,106947
898,14,38,52,60,164,224,425,1431,1856,1912,4722,6634,8258,13043,21301,18503,25696,44199,53091,54411,107502
899,15,48,63,70,183,253,481,1634,2115,2051,4903,6954,8436,13437,21873,18637,25402,44039,52927,54909,107836
900,8,48,56,65,185,250,427,1575,2002,1987,4842,6829,8366,13142,21508,18941,24958,43899,53257,54446,107703
901,8,37,45,41,187,228,393,1635,2028,1892,4848,6740,8284,13247,21531,18652,25814,44466,53251,55135,108386
902,13,37,50,67,182,249,472,1626,2098,2013,4823,6836,8294,13299,21593,18701,25360,44061,52805,54643,107448
903,7,28,35,51,189,240,386,1607,1993,1799,4839,6638,7987,13118,21105,18066,25608,43674,52172,54395,106567
904,16,25,41,62,152,214,447,1612,2059,1947,4795,6742,8158,13109,21267,18643,25524,44167,53456,54693,108149
905,16,18,34,71,171,242,458,1606,2064,1978,4823,6801,8173,13036,21209,18557,25166,43723,52211,54803,107014
906,16,42,58,71,182,253,443,1576,2019,1989,4874,6863,8351,13174,21525,18550,25597,44147,52661,55230,107891
907,20,36,56,80,151,231,426,1605,2031,1871,4811,6682,8341,12887,21228,18966,25156,44122,52607,54733,107340
908,9,34,43,63,163,226,403,1607,2010,1946,4768,6714,8026,12818,20844,18033,25164,43197,52231,54816,107047
909,19,42,61,70,164,234,456,1590,2046,2039,4777,6816,8443,13032,21475,18945,25525,44470,53647,55166,108813
910,12,33,45,59,192,251,440,1606,2046,1920,4847,6767,8061,13019,21080,17996,25199,43195,52253,54349,106602
911,9,38,47,39,158,197,375,1586,1961,1834,4712,6546,8076,12815,20891,18218,25371,43589,53153,54652,107805
912,15,31,46,66,174,240,397,1569,1966,1912,4861,6773,7979,13196,21175,18563,25230,43793,52472,54876,107348
913,10,47,57,63,191,254,400,1560,1960,1915,4996,6911,8190,13006,21196,18428,25469,43897,52509,54848,107357
914,10,40,50,75,184,259,492,1594,2086,2060,4760,6820,8345,13275,21620,18756,25481,44237,53217,55120,108337
915,8,25,33,48,150,198,444,1538,1982,2000,4641,6641,8073,13158,21231,18391,25534,43925,53078,55489,108567
916,16,29,45,61,166,227,430,1647,2077,2035,4905,6940,8346,13159,21505,18663,25233,43896,53008,54607,107615
917,11,37,48,67,165,232,427,1564,1991,1990,4872,6862,8413,13235,21648,18887,25301,44188,53183,54464,107647
918,12,35,47,52,183,235,373,1635,2008,1794,4764,6558,8146,13083,21229,18636,25126,43762,52865,54216,107081
919,10,28,38,52,179,231,383,1582,1965,1890,4716,6606,8067,12668,20735,18413,25355,43768,52878,54797,107675
920,13,33,46,55,167,222,448,1562,2010,1929,4664,6593,8503,12564,21067,18931,24895,43826,54197,54183,108380
921,18,42,60,69,175,244,451,1565,2016,1970,4805,6775,8384,13011,21395,18851,25063,43914,52550,54077,106627
922,13,32,45,47,178,225,421,1572,1993,1955,4779,6734,8276,12737,21013,18839,24699,43538,53464,53508,106972
923,6,31,37,53,183,236,416,1683,2099,1909,4846,6755,8337,13422,21759,18498,25763,44261,52311,55393,107704
924,8,43,51,61,168,229,422,1606,2028,1948,4994,6942,8328,13498,21826,18438,25962,44400,52633,55262,107895
925,10,35,45,61,165,226,443,1558,2001,1934,4694,6628,8224,12822,21046,18826,24810,43636,53228,53419,106647
926,13,31,44,63,170,233,444,1564,2008,1959,4780,6739,8015,13152,21167,18249,25614,43863,52638,55222,107860
927,10,43,53,67,162,229,425,1595,2020,1919,4792,6711,8306,13206,21512,18753,25775,44528,53052,55349,108401
928,8,34,42,48,200,248,392,1741,2133,1881,4829,6710,7958,12890,20848,18253,25424,43677,52381,54918,107299
