node,cell_type,side,direction,edges,price_um,lost_flow,lost_flow_brain_to_vnc,lost_flow_vnc_to_brain,value,value_per_mm
AN07B018|R,AN07B018,R,ascending,23,11715.97,0,0,0,0,0.00
DNp22|L,DNp22,L,descending,32,17649.39,0,0,0,0,0.00
DNp22|R,DNp22,R,descending,23,13228.67,0,0,0,0,0.00
DNp23|L,DNp23,L,descending,1,574.71,0,0,0,0,0.00
DNp23|R,DNp23,R,descending,2,1111.61,0,0,0,0,0.00
DNp24|L,DNp24,L,descending,3,1930.81,0,0,0,0,0.00
DNp24|R,DNp24,R,descending,3,1969.44,0,0,0,0,0.00
DNp26|L,DNp26,L,descending,8,4798.08,0,0,0,0,0.00
DNp26|R,DNp26,R,descending,15,9092.46,0,0,0,0,0.00
DNp27|R,DNp27,R,descending,1,571.76,0,0,0,0,0.00
DNp28|L,DNp28,L,descending,25,16106.02,0,0,0,0,0.00
DNp28|R,DNp28,R,descending,26,17119.20,0,0,0,0,0.00
DNp29|R,DNp29,R,descending,2,1207.96,0,0,0,0,0.00
AN07B021|L,AN07B021,L,ascending,17,9667.86,0,0,0,0,0.00
AN07B021|R,AN07B021,R,ascending,12,6547.58,0,0,0,0,0.00
DNp32|R,DNp32,R,descending,1,802.18,0,0,0,0,0.00
AN07B024|L,AN07B024,L,ascending,2,1427.15,0,0,0,0,0.00
AN07B025|L,AN07B025,L,ascending,7,3759.42,0,0,0,0,0.00
DNp34|L,DNp34,L,descending,39,22579.39,0,0,0,0,0.00
DNp34|R,DNp34,R,descending,42,24711.48,0,0,0,0,0.00
DNp35|L,DNp35,L,descending,2,937.80,0,0,0,0,0.00
DNp35|R,DNp35,R,descending,1,439.04,0,0,0,0,0.00
DNp36|L,DNp36,L,descending,31,16319.64,0,0,0,0,0.00
DNp36|R,DNp36,R,descending,36,20313.21,0,0,0,0,0.00
DNp38|L,DNp38,L,descending,29,19719.39,0,0,0,0,0.00
DNp38|R,DNp38,R,descending,24,16174.91,0,0,0,0,0.00
DNp39|L,DNp39,L,descending,5,2447.34,0,0,0,0,0.00
DNp39|R,DNp39,R,descending,5,2510.71,0,0,0,0,0.00
DNp41|L,DNp41,L,descending,30,16838.58,0,0,0,0,0.00
DNp41|R,DNp41,R,descending,30,16333.29,0,0,0,0,0.00
DNp42|L,DNp42,L,descending,41,23078.85,0,0,0,0,0.00
DNp42|R,DNp42,R,descending,43,23239.18,0,0,0,0,0.00
AN07B025|R,AN07B025,R,ascending,10,5255.21,0,0,0,0,0.00
