permutation,primary,weighted,within_compartment,synapse_positions
894,2.0287e+08,3.31545e+10,1.28221e+08,1.75593e+08
895,2.03678e+08,3.3526e+10,1.28209e+08,1.76458e+08
896,2.03262e+08,3.27049e+10,1.27909e+08,1.76344e+08
897,2.03024e+08,3.21505e+10,1.2775e+08,1.76031e+08
898,2.02897e+08,3.16492e+10,1.28348e+08,1.75844e+08
899,2.02751e+08,3.20939e+10,1.27994e+08,1.75548e+08
900,2.02786e+08,3.18633e+10,1.27705e+08,1.75791e+08
901,2.02789e+08,3.28917e+10,1.2766e+08,1.75979e+08
902,2.02187e+08,3.2325e+10,1.27722e+08,1.75696e+08
903,2.03441e+08,3.33697e+10,1.27948e+08,1.76393e+08
904,2.02932e+08,3.2291e+10,1.27662e+08,1.7572e+08
905,2.03421e+08,3.17422e+10,1.28278e+08,1.76528e+08
906,2.02548e+08,3.21931e+10,1.27933e+08,1.75583e+08
907,2.02959e+08,3.24757e+10,1.28196e+08,1.75845e+08
908,2.03039e+08,3.2263e+10,1.27903e+08,1.75826e+08
909,2.02755e+08,3.27564e+10,1.28034e+08,1.75679e+08
910,2.02557e+08,3.22398e+10,1.27853e+08,1.75502e+08
911,2.02446e+08,3.25224e+10,1.28046e+08,1.75134e+08
912,2.0305e+08,3.26387e+10,1.27806e+08,1.75695e+08
913,2.02814e+08,3.26627e+10,1.28111e+08,1.75989e+08
914,2.03589e+08,3.3113e+10,1.28225e+08,1.76162e+08
915,2.02693e+08,3.16163e+10,1.2791e+08,1.75485e+08
916,2.03407e+08,3.2237e+10,1.2824e+08,1.76273e+08
917,2.02792e+08,3.20525e+10,1.28008e+08,1.75794e+08
918,2.03305e+08,3.14882e+10,1.28029e+08,1.76191e+08
919,2.0261e+08,3.18032e+10,1.2786e+08,1.75536e+08
920,2.02802e+08,3.31323e+10,1.28482e+08,1.75969e+08
921,2.03168e+08,3.13531e+10,1.27804e+08,1.76108e+08
922,2.03247e+08,3.25843e+10,1.28021e+08,1.76167e+08
923,2.03264e+08,3.33669e+10,1.28063e+08,1.76161e+08
924,2.03402e+08,3.17044e+10,1.27613e+08,1.76186e+08
925,2.02828e+08,3.35051e+10,1.27998e+08,1.75793e+08
926,2.02799e+08,3.21213e+10,1.27955e+08,1.75875e+08
927,2.02758e+08,3.07708e+10,1.27846e+08,1.7556e+08
928,2.03304e+08,3.35396e+10,1.27661e+08,1.75985e+08
929,2.02409e+08,3.24498e+10,1.27584e+08,1.75274e+08
930,2.03133e+08,3.27846e+10,1.28362e+08,1.76024e+08
931,2.02322e+08,3.09032e+10,1.28275e+08,1.75668e+08
932,2.02529e+08,3.34912e+10,1.27763e+08,1.75397e+08
933,2.02502e+08,3.26961e+10,1.27903e+08,1.75597e+08
934,2.03183e+08,3.19325e+10,1.2822e+08,1.76125e+08
935,2.02784e+08,3.30038e+10,1.28197e+08,1.75834e+08
936,2.03147e+08,3.11687e+10,1.27876e+08,1.75952e+08
